date,state,fips,day_num,new,value,type,growth
2020-03-07,California,6,0,19,100,cases,0.2345679012345679
2020-03-07,California,6,0,0,1,deaths,0.0
2020-03-07,Washington,53,0,24,110,cases,0.27906976744186046
2020-03-07,Washington,53,0,4,16,deaths,0.3333333333333333
2020-03-08,California,6,1,12,112,cases,0.12
2020-03-08,California,6,1,0,1,deaths,0.0
2020-03-08,New York,36,0,17,106,cases,0.19101123595505617
2020-03-08,New York,36,0,0,0,deaths,
2020-03-08,Washington,53,1,31,141,cases,0.2818181818181818
2020-03-08,Washington,53,1,3,19,deaths,0.1875
2020-03-09,California,6,2,60,172,cases,0.5357142857142857
2020-03-09,California,6,2,1,2,deaths,1.0
2020-03-09,New York,36,1,36,142,cases,0.33962264150943394
2020-03-09,New York,36,1,0,0,deaths,
2020-03-09,Washington,53,2,38,179,cases,0.2695035460992908
2020-03-09,Washington,53,2,3,22,deaths,0.15789473684210525
2020-03-10,California,6,3,7,179,cases,0.040697674418604654
2020-03-10,California,6,3,1,3,deaths,0.5
2020-03-10,New York,36,2,31,173,cases,0.21830985915492956
2020-03-10,New York,36,2,0,0,deaths,
2020-03-10,Washington,53,3,100,279,cases,0.5586592178770949
2020-03-10,Washington,53,3,2,24,deaths,0.09090909090909091
2020-03-11,California,6,4,23,202,cases,0.12849162011173185
2020-03-11,California,6,4,1,4,deaths,0.3333333333333333
2020-03-11,New York,36,3,44,217,cases,0.2543352601156069
2020-03-11,New York,36,3,0,0,deaths,
2020-03-11,Washington,53,4,59,338,cases,0.2114695340501792
2020-03-11,Washington,53,4,5,29,deaths,0.20833333333333334
2020-03-12,California,6,5,50,252,cases,0.24752475247524752
2020-03-12,California,6,5,0,4,deaths,0.0
2020-03-12,Massachusetts,25,0,13,108,cases,0.1368421052631579
2020-03-12,Massachusetts,25,0,0,0,deaths,
2020-03-12,New York,36,4,109,326,cases,0.5023041474654378
2020-03-12,New York,36,4,0,0,deaths,
2020-03-12,Washington,53,5,81,419,cases,0.23964497041420119
