date,state,fips,new,value,type,growth
2020-01-22,Washington,53,0,1,cases,0.0
2020-01-22,Washington,53,0,0,deaths,
2020-01-23,Washington,53,0,1,cases,0.0
2020-01-23,Washington,53,0,0,deaths,
2020-01-24,Washington,53,0,1,cases,0.0
2020-01-24,Washington,53,0,0,deaths,
2020-01-25,Illinois,17,0,1,cases,0.0
2020-01-25,Illinois,17,0,0,deaths,
2020-01-25,Washington,53,0,1,cases,0.0
2020-01-25,Washington,53,0,0,deaths,
2020-01-26,California,6,1,2,cases,1.0
2020-01-26,California,6,0,0,deaths,
2020-01-26,Illinois,17,0,1,cases,0.0
2020-01-26,Illinois,17,0,0,deaths,
2020-01-26,Washington,53,0,1,cases,0.0
2020-01-26,Washington,53,0,0,deaths,
2020-01-27,Arizona,4,0,1,cases,0.0
2020-01-27,Arizona,4,0,0,deaths,
2020-01-27,California,6,0,2,cases,0.0
2020-01-27,California,6,0,0,deaths,
2020-01-27,Illinois,17,0,1,cases,0.0
2020-01-27,Illinois,17,0,0,deaths,
2020-01-27,Washington,53,0,1,cases,0.0
2020-01-27,Washington,53,0,0,deaths,
2020-01-28,Arizona,4,0,1,cases,0.0
2020-01-28,Arizona,4,0,0,deaths,
2020-01-28,California,6,0,2,cases,0.0
2020-01-28,California,6,0,0,deaths,
2020-01-28,Illinois,17,0,1,cases,0.0
2020-01-28,Illinois,17,0,0,deaths,
2020-01-28,Washington,53,0,1,cases,0.0
2020-01-28,Washington,53,0,0,deaths,
2020-01-29,Arizona,4,0,1,cases,0.0
2020-01-29,Arizona,4,0,0,deaths,
2020-01-29,California,6,0,2,cases,0.0
2020-01-29,California,6,0,0,deaths,
2020-01-29,Illinois,17,0,1,cases,0.0
2020-01-29,Illinois,17,0,0,deaths,
2020-01-29,Washington,53,0,1,cases,0.0
2020-01-29,Washington,53,0,0,deaths,
2020-01-30,Arizona,4,0,1,cases,0.0
2020-01-30,Arizona,4,0,0,deaths,
2020-01-30,California,6,0,2,cases,0.0
2020-01-30,California,6,0,0,deaths,
2020-01-30,Illinois,17,1,2,cases,1.0
2020-01-30,Illinois,17,0,0,deaths,
2020-01-30,Washington,53,0,1,cases,0.0
2020-01-30,Washington,53,0,0,deaths,
2020-01-31,Arizona,4,0,1,cases,0.0
2020-01-31,Arizona,4,0,0,deaths,
2020-01-31,California,6,1,3,cases,0.5
2020-01-31,California,6,0,0,deaths,
2020-01-31,Illinois,17,0,2,cases,0.0
2020-01-31,Illinois,17,0,0,deaths,
2020-01-31,Washington,53,0,1,cases,0.0
2020-01-31,Washington,53,0,0,deaths,
2020-02-01,Arizona,4,0,1,cases,0.0
2020-02-01,Arizona,4,0,0,deaths,
2020-02-01,California,6,0,3,cases,0.0
2020-02-01,California,6,0,0,deaths,
2020-02-01,Illinois,17,0,2,cases,0.0
2020-02-01,Illinois,17,0,0,deaths,
2020-02-01,Washington,53,0,1,cases,0.0
2020-02-01,Washington,53,0,0,deaths,
2020-02-02,Arizona,4,0,1,cases,0.0
2020-02-02,Arizona,4,0,0,deaths,
2020-02-02,California,6,3,6,cases,1.0
2020-02-02,California,6,0,0,deaths,
2020-02-02,Illinois,17,0,2,cases,0.0
2020-02-02,Illinois,17,0,0,deaths,
2020-02-02,Massachusetts,25,0,1,cases,0.0
2020-02-02,Massachusetts,25,0,0,deaths,
2020-02-02,Washington,53,0,1,cases,0.0
2020-02-02,Washington,53,0,0,deaths,
2020-02-03,Arizona,4,0,1,cases,0.0
2020-02-03,Arizona,4,0,0,deaths,
2020-02-03,California,6,0,6,cases,0.0
2020-02-03,California,6,0,0,deaths,
2020-02-03,Illinois,17,0,2,cases,0.0
2020-02-03,Illinois,17,0,0,deaths,
2020-02-03,Massachusetts,25,0,1,cases,0.0
2020-02-03,Massachusetts,25,0,0,deaths,
2020-02-03,Washington,53,0,1,cases,0.0
2020-02-03,Washington,53,0,0,deaths,
2020-02-04,Arizona,4,0,1,cases,0.0
2020-02-04,Arizona,4,0,0,deaths,
